feature,importance,coefficient
Curricular units 2nd sem (approved),1.2164656408433343,1.2164656408433343
Second_Sem_Success_Rate,0.5194241759433401,0.5194241759433401
First_Sem_Success_Rate,0.5018399961876995,0.5018399961876995
Curricular units 2nd sem (evaluations),0.4151290187700009,0.4151290187700009
Curricular units 1st sem (enrolled),0.2745186154972807,0.2745186154972807
Curricular units 2nd sem (enrolled),0.2495812943235847,0.2495812943235847
Course,0.1833805847150882,0.1833805847150882
