model_name,accuracy,f1_macro,precision_Dropout,recall_Dropout,precision_Enrolled,recall_Enrolled,precision_Graduate,recall_Graduate,f1_Dropout,f1_Enrolled,f1_Graduate,oob_score,total_support_vectors,support_vector_ratio
LogisticRegression,0.7152542372881356,0.6763127290950841,0.788135593220339,0.6549295774647887,0.4090909090909091,0.6226415094339622,0.855036855036855,0.7873303167420814,,,,,,
XGBoost,0.7423728813559322,0.661502031310116,0.7851239669421488,0.6690140845070423,0.5,0.3584905660377358,0.775047258979206,0.9276018099547512,0.7224334600760456,0.4175824175824176,0.8444902162718847,,,
RandomForest,0.6983050847457627,0.6325900793476004,0.68,0.7183098591549296,0.4013157894736842,0.3836477987421384,0.815242494226328,0.7986425339366516,0.6986301369863014,0.3922829581993569,0.8068571428571428,0.7146086465103136,,
SVM,0.7062146892655368,0.6688972389407996,0.8181818181818182,0.602112676056338,0.3917910447761194,0.660377358490566,0.8553921568627451,0.7895927601809954,0.6937119675456389,0.4918032786885246,0.8211764705882353,,2209.0,0.6241876236224922
MLP,0.735593220338983,0.6319260824215848,0.7039473684210527,0.7535211267605634,0.4534883720930232,0.2452830188679245,0.804040404040404,0.9004524886877828,0.7278911564625851,0.3183673469387755,0.8495197438633938,,,
