feature,mi_score,combined_score,rf_importance,rfe_ranking
Curricular units 2nd sem (approved),1.7826068721078905,1.0,0.5283221514703038,1
Curricular units 1st sem (enrolled),0.697469307990386,0.1477968328508019,0.081953541388193,1
Course,0.4466936206140488,0.113852819559935,0.0344212690871304,1
Curricular units 2nd sem (evaluations),0.5015794392921231,0.3909801028419294,0.106979712049858,1
Curricular units 2nd sem (enrolled),0.850145570183003,0.4772474825159847,0.0990299951838079,1
