n_features,cv_score
1,0.9860973003950763
2,0.9737241433996795
3,0.9613782669320827
4,0.9338054972840663
5,0.9707979706734118
6,0.9580921606543743
7,0.9392874265868969
8,0.930054734036282
9,0.9179814498662564
10,0.9119230826406792
11,0.8907534812248589
12,0.9294955050447452
