feature,importance
Curricular units 2nd sem (approved),0.15994593491722667
First_Sem_Success_Rate,0.15395986061524083
Curricular units 2nd sem (evaluations),0.14780407828100467
Course,0.14423856659871495
Second_Sem_Success_Rate,0.13542690215109954
Curricular units 2nd sem (enrolled),0.13283571461355229
Curricular units 1st sem (enrolled),0.11121376867356592
