mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12343392372131348,0.014852904773007084,0.01191573143005371,0.0006921544778318835,0.1,ovo,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6563270858154081,0.6889211417513305,0.5854317196248182,0.6386920694903689,0.6221191506905792,0.638298233474501,0.034480442202180675,17
0.06835370063781739,0.009726850320394123,0.010115575790405274,0.010138037288061357,0.1,ovo,scale,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6543024227234753,0.6905454406656742,0.5819202495675809,0.6190045638508568,0.6197997121368769,0.6331144777888928,0.03672728186617626,39
0.09976310729980468,0.01823210562660231,0.00818805694580078,0.004487304161196306,0.1,ovo,scale,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5133350484521052,0.54437564499484,0.4997729943382117,0.4675248370900545,0.5237027929335621,0.5097422635617547,0.025647506778803682,107
0.10409398078918457,0.01940343548680084,0.006308555603027344,0.00027781770327002465,0.1,ovo,scale,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6056273661060854,0.6818202515276526,0.594786203666695,0.6224696356275303,0.5748369058713886,0.6159080725598703,0.03640367138093155,69
0.1177215576171875,0.010722998685167412,0.017492151260375975,0.009106159369508688,0.1,ovo,auto,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'rbf'}",0.6563270858154081,0.6889211417513305,0.5847778813296055,0.6332023861486977,0.6221191506905792,0.6370695291471242,0.03473421443166509,19
0.05697050094604492,0.00906794605831757,0.006138324737548828,0.004755232028643309,0.1,ovo,auto,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear'}",0.6543024227234753,0.6905454406656742,0.5819202495675809,0.6190045638508568,0.6197997121368769,0.6331144777888928,0.03672728186617626,39
0.08332176208496093,0.01705594399767544,0.01058182716369629,0.011099940175232267,0.1,ovo,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'poly'}",0.5133350484521052,0.54437564499484,0.4987387387387387,0.4755651755651755,0.5237027929335621,0.5111434801368844,0.02318020472775668,105
0.10549588203430176,0.01696861853634758,0.006213617324829101,0.0008684881327062206,0.1,ovo,auto,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6056273661060854,0.6881083103305325,0.6010499079464596,0.6150026444144091,0.5629882234971116,0.6145552904589197,0.04082036855026362,71
0.13846344947814943,0.022010044084189485,0.010263872146606446,0.0012719031081124584,0.1,ovo,0.1,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'rbf'}",0.6627911891970826,0.6766012993443263,0.5742904558694032,0.6272986744504522,0.6144694164585666,0.6310902070639661,0.03631266975706347,51
0.07744426727294922,0.01363855228105202,0.004286718368530273,0.0009180477511899334,0.1,ovo,0.1,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'linear'}",0.6543024227234753,0.6905454406656742,0.5819202495675809,0.6190045638508568,0.6197997121368769,0.6331144777888928,0.03672728186617626,39
0.08770318031311035,0.012351946474113503,0.007924032211303712,0.005351783142815341,0.1,ovo,0.1,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'poly'}",0.4590033318846878,0.4749034749034749,0.445196830278248,0.4588232300096707,0.5365892207997471,0.4749032175751656,0.032245944877458625,119
0.10357565879821777,0.00862558101046045,0.011627531051635743,0.006749360515736419,0.1,ovo,0.1,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6145787716437612,0.6953055051421657,0.5998373305216572,0.6346494153216842,0.5866739476739782,0.6262089940606492,0.03805079541554467,61
0.13895387649536134,0.014189243522082803,0.012745285034179687,0.0014023470867069014,0.1,ovo,0.01,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.01, 'kernel': 'rbf'}",0.6557408796024202,0.6547603425181444,0.5603271831805076,0.5620743254912856,0.5958529010755946,0.6057511263735904,0.0423552856431254,73
0.06468925476074219,0.009232612117505045,0.004112720489501953,0.000559552039665738,0.1,ovo,0.01,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.01, 'kernel': 'linear'}",0.6543024227234753,0.6905454406656742,0.5819202495675809,0.6190045638508568,0.6197997121368769,0.6331144777888928,0.03672728186617626,39
0.08949160575866699,0.004429872328206815,0.004848384857177734,0.0006165028448235362,0.1,ovo,0.01,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.01, 'kernel': 'poly'}",0.16042780748663102,0.2222222222222222,0.16399286987522282,0.16399286987522282,0.16399286987522282,0.17492572786690436,0.023688521377469646,125
0.12110028266906739,0.013850297229067608,0.006052160263061523,0.0008811414689941436,0.1,ovo,0.01,sigmoid,"{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 0.01, 'kernel': 'sigmoid'}",0.48053424268258027,0.6486497344757814,0.5038667885916828,0.5509703062894552,0.5477487291212781,0.5463539602321555,0.05766294552238994,97
