feature,importance
Curricular units 2nd sem (approved),0.2662146892655367
Second_Sem_Success_Rate,0.12971751412429383
First_Sem_Success_Rate,0.0953672316384181
Curricular units 2nd sem (evaluations),0.04079096045197744
Curricular units 2nd sem (enrolled),0.026892655367231687
Course,-0.0023728813559321547
Curricular units 1st sem (enrolled),-0.004293785310734421
