feature,weight,cover,gain
Second_Sem_Success_Rate,979.0,193.66294860839844,7.498265266418457
First_Sem_Success_Rate,1149.0,130.21302795410156,2.7179343700408936
Curricular units 2nd sem (approved),900.0,107.79768371582031,2.6852877140045166
Curricular units 2nd sem (enrolled),478.0,122.7834243774414,1.7193650007247925
Curricular units 1st sem (enrolled),545.0,122.94475555419922,1.1378360986709595
Course,1784.0,103.74933624267578,1.0502252578735352
Curricular units 2nd sem (evaluations),1663.0,85.97199249267578,0.892687201499939
