feature,importance,coefficient
Curricular units 2nd sem (approved),1.2164656408433345,1.2164656408433345
Second_Sem_Success_Rate,0.5194241759433401,0.5194241759433401
First_Sem_Success_Rate,0.5018399961876995,0.5018399961876995
Curricular units 2nd sem (evaluations),0.41512901877000097,0.41512901877000097
Curricular units 1st sem (enrolled),0.27451861549728074,0.27451861549728074
Curricular units 2nd sem (enrolled),0.24958129432358475,0.24958129432358475
Course,0.1833805847150882,0.1833805847150882
